step,num_samples,avg_reward,max_reward,train_pass_count
1,80,0.3873,1.0,35
2,32,0.1664,1.0,2
3,24,0.1757,1.0,3
4,12,-0.3189,0.6458,0
5,12,-0.5,-0.5,0
